party,first_name,middle_initial,last_name,name_suffix,preferred_name,primary_address_1,primary_address_2,primary_address_3,primary_city,primary_state,primary_postal_code,primary_phone_1,primary_phone_2,primary_fax_1,primary_fax_2,secondary_address_1,secondary_address_2,secondary_address_3,secondary_city,secondary_state,secondary_postal_code,secondary_phone_1,secondary_phone_2,secondary_fax_1,secondary_fax_2,email_1,email_2,photo_origin_url,url_1,url_2,salutation,web_form_url,role,chamber_name,district_id,district_city,district_state,district_country,ocd_id
Democrat,Lisa,M.,Deeley,,,City Hall,Room 132,,Philadelphia,PA,19107,(215) 686-3460,(215) 686-3461,(215) 686-3947,,,,,,,,,,,,Lisa.Deeley@phila.gov,,http://www.philadelphiavotes.com/images/Lisa_Deeley.jpg,http://www.philadelphiavotes.com/en/about-us/commissioner-lisa-m-deeley,,,,City Commissioner ,Philadelphia City Commissioners,PHILADELPHIA,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia
Democrat,Anthony,,Clark,,,City Hall,Room 130,,Philadelphia,PA,19107,(215) 686-3462,(215) 686-3463,(215) 587-9107,,,,,,,,,,,,Anthony.Clark@phila.gov,,http://www.philadelphiavotes.com/images/clark_headshot.png,http://www.philadelphiavotes.com/en/about-us/commissioner-anthony-clark,,,,City Commissioner,Philadelphia City Commissioners,PHILADELPHIA,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia
Republican,Al,,Schmidt,,,City Hall,Room 134,,Philadelphia,PA,19107,(215) 686-3464,(215) 686-3467,(215) 686-3472,,,,,,,,,,,,Al.Schmidt@phila.gov,,http://www.philadelphiavotes.com/images/Al_Headshot.png,http://www.philadelphiavotes.com/en/about-us/commissioner-al-schmidt,,,,City Commissioner,Philadelphia City Commissioners,PHILADELPHIA,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia
,Alan,,Butkovitz,,,Office of the Controller,1230 Municipal Services Building,1401 John F. Kennedy Boulevard,Philadelphia,PA,19102-1679,(215) 686-6680,(215) 686-3804,(215) 686-3832,,,,,,,,,,,,info@philadelphiacontroller.org,,http://www.philadelphiacontroller.org/uploads/photos/controller-2.jpg,http://www.philadelphiacontroller.org/,,,,City Controller,Philadelphia City Controller,AT LARGE,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia
Democrat,Mark,F.,Squilla,,,City Hall,Room 332,,Philadelphia,PA,19107-3290,(215) 686-3458,(215) 686-3459,(215) 686-1931,,,,,,,,,,,,mark.squilla@phila.gov,,http://phlcouncil.com/wp-content/uploads/2016/01/Mark-S-Edit-1.jpg,http://phlcouncil.com/MarkSquilla,,,http://phlcouncil.com/MarkSquilla,Councilman,Philadelphia City Council,1,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia/council_district:1
Republican,Brian,J.,O'Neill,,,City Hall,Room 562,,Philadelphia,PA,19107-3290,(215) 686-3422,(215) 686-3423,(215) 686-1939,,"1701 Bowler Street, 2nd FL.",,,Philadelphia,PA,19115,(215) 685-0432,(215) 685-6431,(215) 685-0436,,brian.oneill@phila.gov,,http://phlcouncil.com/wp-content/uploads/2016/01/BrianONeill.jpg,http://phlcouncil.com/BrianONeill,,,http://phlcouncil.com/BrianONeill,Councilman,Philadelphia City Council,10,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia/council_district:10
Democrat,Kenyatta,,Johnson,,,City Hall,Room 580,,Philadelphia,PA,19107-3290,(215) 686-3412,(215) 686-3413,(215) 686-1932,,,,,,,,,,,,kenyatta.johnson@phila.gov,,http://phlcouncil.com/wp-content/uploads/2016/01/Kenyatta-J-Edit-1.jpg,http://phlcouncil.com/KenyattaJohnson,,,http://phlcouncil.com/KenyattaJohnson,Councilman,Philadelphia City Council,2,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia/council_district:2
Democrat,Jannie,L.,Blackwell,,,City Hall,Room 408,,Philadelphia,PA,19107-3290,(215) 686-3418,(215) 686-3419,(215) 686-1933,,,,,,,,,,,,jannie.blackwell@phila.gov,,http://phlcouncil.com/wp-content/uploads/2016/01/Jannie-Blackwell-Edit-1.jpg,http://phlcouncil.com/JannieBlackwell,,,http://phlcouncil.com/JannieBlackwell,Councilwoman,Philadelphia City Council,3,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia/council_district:3
Democrat,Curtis,,Jones,Jr.,,City Hall,Room 404,,Philadelphia,PA,19107-3290,(215) 686-3416,(215) 686-3417,(215) 686-1934,,5398 Wynnefield Avenue,,,Philadelphia,PA,,(215) 685-0593,(215) 685-2547,(215) 685-0290,(215) 685-2559,curtis.jones@phila.gov,,http://phlcouncil.com/wp-content/uploads/2016/01/Curtis-Jones.jpg,http://phlcouncil.com/CurtisJonesJr/,,,http://phlcouncil.com/CurtisJonesJr/,Councilman,Philadelphia City Council,4,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia/council_district:4
Democrat,Darrell,L.,Clarke,,,City Hall,Room 494,,Philadelphia,PA,19107-3290,(215) 686-3442,(215) 686-3443,(215) 686-1901,,,,,,,,,,,,darrell.clarke@phila.gov,,http://phlcouncil.com/wp-content/uploads/2016/01/DarrellClarke.jpg,http://phlcouncil.com/DarrellClarke/,,,http://phlcouncil.com/DarrellClarke/,Councilman,Philadelphia City Council,5,Philadelphia,PA,US,ocd-division/country:us/state:pa/place:philadelphia/council_district:5
